danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,artist_name
0.356,0.324,7,-8.699,0,0.0289,0.704,0.0025,0.204,0.438,88.861,audio_features,09g9OlH3RDjbffMAnvBPgw,spotify:track:09g9OlH3RDjbffMAnvBPgw,https://api.spotify.com/v1/tracks/09g9OlH3RDjbffMAnvBPgw,https://api.spotify.com/v1/audio-analysis/09g9OlH3RDjbffMAnvBPgw,166133,4,Summertime,Charlie Parker
0.555,0.0255,2,-31.733,1,0.0599,0.986,0.906,0.0616,0.131,120.281,audio_features,4FsUPnXoCN6VSgkU6wXAwz,spotify:track:4FsUPnXoCN6VSgkU6wXAwz,https://api.spotify.com/v1/tracks/4FsUPnXoCN6VSgkU6wXAwz,https://api.spotify.com/v1/audio-analysis/4FsUPnXoCN6VSgkU6wXAwz,237000,4,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air (On a G String)",Stephan-König-Trio
0.698,0.278,5,-15.425,1,0.0508,0.572,0.0233,0.105,0.77,81.079,audio_features,0488kXJ1YnLMrrM1ssJnev,spotify:track:0488kXJ1YnLMrrM1ssJnev,https://api.spotify.com/v1/tracks/0488kXJ1YnLMrrM1ssJnev,https://api.spotify.com/v1/audio-analysis/0488kXJ1YnLMrrM1ssJnev,385467,4,Monk's Dream - Take 8,Thelonious Monk
0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,audio_features,0aWMVrwxPNYkKmFthzmpRi,spotify:track:0aWMVrwxPNYkKmFthzmpRi,https://api.spotify.com/v1/tracks/0aWMVrwxPNYkKmFthzmpRi,https://api.spotify.com/v1/audio-analysis/0aWMVrwxPNYkKmFthzmpRi,337733,4,Blue in Green (feat. John Coltrane & Bill Evans),Miles Davis
0.458,0.0133,1,-26.265,1,0.04,0.994,0.944,0.106,0.161,59.529,audio_features,5WlGbaNBwa8cClh21SVhXp,spotify:track:5WlGbaNBwa8cClh21SVhXp,https://api.spotify.com/v1/tracks/5WlGbaNBwa8cClh21SVhXp,https://api.spotify.com/v1/audio-analysis/5WlGbaNBwa8cClh21SVhXp,159600,4,This Is The Time,Aimee Fleur
0.598,0.0979,3,-19.917,1,0.034,0.903,0.859,0.132,0.25,101.52,audio_features,4mFe5Dps693mNeAvnyT09T,spotify:track:4mFe5Dps693mNeAvnyT09T,https://api.spotify.com/v1/tracks/4mFe5Dps693mNeAvnyT09T,https://api.spotify.com/v1/audio-analysis/4mFe5Dps693mNeAvnyT09T,235548,4,You Go To My Head,Paul Moretti Trio
0.418,0.342,8,-17.185,1,0.0368,0.703,0.889,0.107,0.422,143.612,audio_features,28c3mdtZCEXpdIQ85pWolU,spotify:track:28c3mdtZCEXpdIQ85pWolU,https://api.spotify.com/v1/tracks/28c3mdtZCEXpdIQ85pWolU,https://api.spotify.com/v1/audio-analysis/28c3mdtZCEXpdIQ85pWolU,364360,4,Blessed Feet,Tord Gustavsen Trio
0.33,0.0685,5,-16.607,0,0.0366,0.991,0.546,0.0858,0.181,77.309,audio_features,6Q8m3ux9ww9OMXlK7OrFkL,spotify:track:6Q8m3ux9ww9OMXlK7OrFkL,https://api.spotify.com/v1/tracks/6Q8m3ux9ww9OMXlK7OrFkL,https://api.spotify.com/v1/audio-analysis/6Q8m3ux9ww9OMXlK7OrFkL,217880,4,The Windmills of Your Mind,Paolo Fresu
0.321,0.109,5,-21.097,0,0.0365,0.93,0.888,0.124,0.162,70.392,audio_features,1w0IXRQFCFcz2z07pdNH4s,spotify:track:1w0IXRQFCFcz2z07pdNH4s,https://api.spotify.com/v1/tracks/1w0IXRQFCFcz2z07pdNH4s,https://api.spotify.com/v1/audio-analysis/1w0IXRQFCFcz2z07pdNH4s,357973,4,Raindrops,Emil Brandqvist
0.303,0.0141,10,-19.759,0,0.0418,0.948,0.0944,0.0792,0.157,171.439,audio_features,1hVRTl4yhWmGW7ImZoO22e,spotify:track:1hVRTl4yhWmGW7ImZoO22e,https://api.spotify.com/v1/tracks/1hVRTl4yhWmGW7ImZoO22e,https://api.spotify.com/v1/audio-analysis/1hVRTl4yhWmGW7ImZoO22e,258266,3,Naima,John Coltrane
0.566,0.0703,3,-21.919,1,0.0452,0.992,0.912,0.11,0.0785,122.274,audio_features,392OK8Qdmos0wNDrduiwy0,spotify:track:392OK8Qdmos0wNDrduiwy0,https://api.spotify.com/v1/tracks/392OK8Qdmos0wNDrduiwy0,https://api.spotify.com/v1/audio-analysis/392OK8Qdmos0wNDrduiwy0,291640,4,In Your Own Sweet Way,Wes Montgomery
0.534,0.128,8,-16.076,1,0.0412,0.852,0.163,0.171,0.347,89.782,audio_features,7JrgVgkA0n4AnAPvC2y6wV,spotify:track:7JrgVgkA0n4AnAPvC2y6wV,https://api.spotify.com/v1/tracks/7JrgVgkA0n4AnAPvC2y6wV,https://api.spotify.com/v1/audio-analysis/7JrgVgkA0n4AnAPvC2y6wV,309640,4,When It's Sleepytime Down South,Wynton Marsalis
0.42,0.0802,7,-21.795,1,0.04,0.905,0.857,0.135,0.0541,122.041,audio_features,6yrnPCDXguFp5eZTGmZawc,spotify:track:6yrnPCDXguFp5eZTGmZawc,https://api.spotify.com/v1/tracks/6yrnPCDXguFp5eZTGmZawc,https://api.spotify.com/v1/audio-analysis/6yrnPCDXguFp5eZTGmZawc,257693,3,Gary's Theme - Remastered,Bill Evans
0.583,0.123,10,-18.8,1,0.0675,0.994,0.888,0.0999,0.181,118.864,audio_features,3V0UWSP292tAoj4SeLI5eZ,spotify:track:3V0UWSP292tAoj4SeLI5eZ,https://api.spotify.com/v1/tracks/3V0UWSP292tAoj4SeLI5eZ,https://api.spotify.com/v1/audio-analysis/3V0UWSP292tAoj4SeLI5eZ,179187,4,Beltà poi che t'assenti (Arr. for 2 Pianos),Jenny Lin
0.385,0.573,7,-13.027,0,0.0449,0.669,0.886,0.0932,0.121,100.988,audio_features,2sowiwuhxt4nLIWP6vWJOa,spotify:track:2sowiwuhxt4nLIWP6vWJOa,https://api.spotify.com/v1/tracks/2sowiwuhxt4nLIWP6vWJOa,https://api.spotify.com/v1/audio-analysis/2sowiwuhxt4nLIWP6vWJOa,545013,4,Paranoid Android,Brad Mehldau
0.295,0.148,0,-22.731,0,0.0361,0.994,0.86,0.0889,0.163,68.201,audio_features,12ICG4ARajR8WSmMeGENsM,spotify:track:12ICG4ARajR8WSmMeGENsM,https://api.spotify.com/v1/tracks/12ICG4ARajR8WSmMeGENsM,https://api.spotify.com/v1/audio-analysis/12ICG4ARajR8WSmMeGENsM,93307,3,"Bach, JS : Well-Tempered Clavier Book 1 : Prelude No.2 in C minor BWV847",Daniel Barenboim
0.345,0.00599,7,-34.263,0,0.0429,0.993,0.914,0.0662,0.0627,60.099,audio_features,7JoPNFFUhVG64kRVnKAIQi,spotify:track:7JoPNFFUhVG64kRVnKAIQi,https://api.spotify.com/v1/tracks/7JoPNFFUhVG64kRVnKAIQi,https://api.spotify.com/v1/audio-analysis/7JoPNFFUhVG64kRVnKAIQi,234387,4,"Keyboard Suite No. 1 (Set II) in B-Flat Major, HWV 434: IV. Menuet (arr. W. Kempff for piano)",Wilhelm Kempff
0.551,0.114,3,-24.78,0,0.0451,0.977,0.874,0.141,0.124,70.141,audio_features,78ntGe4xyecZHg9exQWwK6,spotify:track:78ntGe4xyecZHg9exQWwK6,https://api.spotify.com/v1/tracks/78ntGe4xyecZHg9exQWwK6,https://api.spotify.com/v1/audio-analysis/78ntGe4xyecZHg9exQWwK6,146093,4,Blue And Sentimental,Oscar Peterson
0.591,0.125,0,-14.429,1,0.0469,0.917,0.344,0.0956,0.403,83.624,audio_features,50ijZUy4vc2q9Pm12q5F7K,spotify:track:50ijZUy4vc2q9Pm12q5F7K,https://api.spotify.com/v1/tracks/50ijZUy4vc2q9Pm12q5F7K,https://api.spotify.com/v1/audio-analysis/50ijZUy4vc2q9Pm12q5F7K,159773,4,Cocktails For Two,Coleman Hawkins
0.419,0.00173,0,-40.563,1,0.0699,0.995,0.95,0.0611,0.582,111.16,audio_features,4fuooklXL2pC6IlhphGeyy,spotify:track:4fuooklXL2pC6IlhphGeyy,https://api.spotify.com/v1/tracks/4fuooklXL2pC6IlhphGeyy,https://api.spotify.com/v1/audio-analysis/4fuooklXL2pC6IlhphGeyy,117573,4,5 Anniversaries: No. 5. For Susanna Kyle,Leonard Bernstein
0.558,0.236,7,-18.582,0,0.0364,0.531,0.783,0.0868,0.328,139.575,audio_features,7fHGCeqESmD29tImSdDuAp,spotify:track:7fHGCeqESmD29tImSdDuAp,https://api.spotify.com/v1/tracks/7fHGCeqESmD29tImSdDuAp,https://api.spotify.com/v1/audio-analysis/7fHGCeqESmD29tImSdDuAp,327307,4,Bye Bye Blackbird,Ron Carter
0.438,0.0582,9,-25.375,1,0.0449,0.992,0.901,0.0974,0.0399,78.902,audio_features,032qNx2ok6LKHpLtBMDS9m,spotify:track:032qNx2ok6LKHpLtBMDS9m,https://api.spotify.com/v1/tracks/032qNx2ok6LKHpLtBMDS9m,https://api.spotify.com/v1/audio-analysis/032qNx2ok6LKHpLtBMDS9m,182827,4,Big Stuff (Arr. L. Russell),Leonard Bernstein
0.47,0.156,2,-17.036,1,0.0399,0.623,0.187,0.104,0.059,118.176,audio_features,6f6OQJv9qjqyJq9NHin45n,spotify:track:6f6OQJv9qjqyJq9NHin45n,https://api.spotify.com/v1/tracks/6f6OQJv9qjqyJq9NHin45n,https://api.spotify.com/v1/audio-analysis/6f6OQJv9qjqyJq9NHin45n,394920,4,Blue Ballad,Phil Woods
0.388,0.0642,10,-18.114,1,0.0336,0.925,0.0734,0.114,0.0717,66.645,audio_features,3aCuyrcGWCwNarmbp9sjas,spotify:track:3aCuyrcGWCwNarmbp9sjas,https://api.spotify.com/v1/tracks/3aCuyrcGWCwNarmbp9sjas,https://api.spotify.com/v1/audio-analysis/3aCuyrcGWCwNarmbp9sjas,362760,4,You Are So Beautiful,Charles Lloyd
0.382,0.0263,5,-27.365,0,0.0553,0.995,0.93,0.0978,0.188,66.746,audio_features,7u21y9GiZwaBvqtOeNqh3t,spotify:track:7u21y9GiZwaBvqtOeNqh3t,https://api.spotify.com/v1/tracks/7u21y9GiZwaBvqtOeNqh3t,https://api.spotify.com/v1/audio-analysis/7u21y9GiZwaBvqtOeNqh3t,202500,4,September in the Rain,Francesca Marr
0.69,0.0723,3,-22.979,0,0.0594,0.687,0.0393,0.0802,0.423,78.759,audio_features,09Q9uXzWqVRJoRj8xY7dca,spotify:track:09Q9uXzWqVRJoRj8xY7dca,https://api.spotify.com/v1/tracks/09Q9uXzWqVRJoRj8xY7dca,https://api.spotify.com/v1/audio-analysis/09Q9uXzWqVRJoRj8xY7dca,135053,3,Les 4 Saisons Concerto N 2 L'Ete - Adagio,Raymond Fol
0.444,0.0254,0,-27.684,1,0.0471,0.976,0.935,0.117,0.0632,112.969,audio_features,61Wh9vJtPH9gqRTEsgi6cU,spotify:track:61Wh9vJtPH9gqRTEsgi6cU,https://api.spotify.com/v1/tracks/61Wh9vJtPH9gqRTEsgi6cU,https://api.spotify.com/v1/audio-analysis/61Wh9vJtPH9gqRTEsgi6cU,453187,4,Rain,Kenny Barron & Dave Holland
0.308,0.157,2,-15.827,1,0.0369,0.875,0.446,0.109,0.158,77.202,audio_features,0SNreZpgpILt8bvU5zbSDo,spotify:track:0SNreZpgpILt8bvU5zbSDo,https://api.spotify.com/v1/tracks/0SNreZpgpILt8bvU5zbSDo,https://api.spotify.com/v1/audio-analysis/0SNreZpgpILt8bvU5zbSDo,368414,4,Hallelujah,Adam Baldych
0.293,0.322,5,-17.073,0,0.0415,0.77,0.908,0.129,0.102,78.932,audio_features,2u80ys6VOAC2iUVTcWiq4p,spotify:track:2u80ys6VOAC2iUVTcWiq4p,https://api.spotify.com/v1/tracks/2u80ys6VOAC2iUVTcWiq4p,https://api.spotify.com/v1/audio-analysis/2u80ys6VOAC2iUVTcWiq4p,462440,4,Lonely Girl,Avi Avital
0.61,0.397,7,-14.426,1,0.044,0.608,0.844,0.0952,0.449,96.287,audio_features,3te6Se74Nf46h6HZZC8I22,spotify:track:3te6Se74Nf46h6HZZC8I22,https://api.spotify.com/v1/tracks/3te6Se74Nf46h6HZZC8I22,https://api.spotify.com/v1/audio-analysis/3te6Se74Nf46h6HZZC8I22,400800,4,I Could Have Danced All Night,New York Trio
0.374,0.0222,9,-25.868,0,0.0406,0.962,0.929,0.69,0.174,94.957,audio_features,7GoVkeYu4vAUJEB0tajGtN,spotify:track:7GoVkeYu4vAUJEB0tajGtN,https://api.spotify.com/v1/tracks/7GoVkeYu4vAUJEB0tajGtN,https://api.spotify.com/v1/audio-analysis/7GoVkeYu4vAUJEB0tajGtN,714720,3,My Love And I,Charlie Haden
0.247,0.279,5,-8.487,1,0.031,0.9,0.0396,0.0375,0.582,179.829,audio_features,1scMU67ywT0Z6HC007hqhh,spotify:track:1scMU67ywT0Z6HC007hqhh,https://api.spotify.com/v1/tracks/1scMU67ywT0Z6HC007hqhh,https://api.spotify.com/v1/audio-analysis/1scMU67ywT0Z6HC007hqhh,191832,3,Jazz Suite No. 2 - Arr. for Accordion R. Galliano: Waltz No. 2,Richard Galliano
0.602,0.319,4,-16.627,0,0.036,0.902,0.833,0.1,0.191,122.32,audio_features,2u8bbepimxxzs1THM003hD,spotify:track:2u8bbepimxxzs1THM003hD,https://api.spotify.com/v1/tracks/2u8bbepimxxzs1THM003hD,https://api.spotify.com/v1/audio-analysis/2u8bbepimxxzs1THM003hD,267076,4,Tres Notas para Decir Te Quiero,Wolfgang Haffner
0.706,0.18,7,-19.197,1,0.0495,0.981,0.947,0.0952,0.388,107.292,audio_features,2hOd88IAX1JT3EfktlSp4D,spotify:track:2hOd88IAX1JT3EfktlSp4D,https://api.spotify.com/v1/tracks/2hOd88IAX1JT3EfktlSp4D,https://api.spotify.com/v1/audio-analysis/2hOd88IAX1JT3EfktlSp4D,296000,4,"Here, There and Everywhere",George Shearing
0.323,0.0823,4,-23.467,1,0.0425,0.99,0.923,0.115,0.104,78.638,audio_features,73NBBVvSOrguf3k6YHEJVf,spotify:track:73NBBVvSOrguf3k6YHEJVf,https://api.spotify.com/v1/tracks/73NBBVvSOrguf3k6YHEJVf,https://api.spotify.com/v1/audio-analysis/73NBBVvSOrguf3k6YHEJVf,541600,4,Every Day (I Thank You),Jason Vieaux
0.452,0.0433,0,-17.331,1,0.0542,0.984,0.0116,0.123,0.393,179.853,audio_features,1uxLuBGyj2tUQrwFftZQaT,spotify:track:1uxLuBGyj2tUQrwFftZQaT,https://api.spotify.com/v1/tracks/1uxLuBGyj2tUQrwFftZQaT,https://api.spotify.com/v1/audio-analysis/1uxLuBGyj2tUQrwFftZQaT,276000,3,Clarinet Blues,Bobby Gordon
0.162,0.0592,4,-17.727,0,0.039,0.989,0.889,0.115,0.162,69.602,audio_features,5gxf1X2kA4H0fF2gvMSKjb,spotify:track:5gxf1X2kA4H0fF2gvMSKjb,https://api.spotify.com/v1/tracks/5gxf1X2kA4H0fF2gvMSKjb,https://api.spotify.com/v1/audio-analysis/5gxf1X2kA4H0fF2gvMSKjb,348000,4,Orbit,Eric Vloeimans
0.513,0.238,0,-18.894,0,0.0461,0.676,0.926,0.104,0.717,101.672,audio_features,1mtepkkm9JsUngXRNi7Y9u,spotify:track:1mtepkkm9JsUngXRNi7Y9u,https://api.spotify.com/v1/tracks/1mtepkkm9JsUngXRNi7Y9u,https://api.spotify.com/v1/audio-analysis/1mtepkkm9JsUngXRNi7Y9u,352787,4,"Fourth Movement, Allegro Assai, Exposition & Transition",Mark Kramer Trio
0.53,0.322,7,-13.687,0,0.0468,0.472,0.906,0.0673,0.387,178.334,audio_features,51WozCH6KrpMsf6MSsftkD,spotify:track:51WozCH6KrpMsf6MSsftkD,https://api.spotify.com/v1/tracks/51WozCH6KrpMsf6MSsftkD,https://api.spotify.com/v1/audio-analysis/51WozCH6KrpMsf6MSsftkD,445133,4,Seeker,Hiromi
0.481,0.0104,7,-31.641,0,0.0473,0.995,0.917,0.0659,0.0748,66.946,audio_features,50squRjCzTuFjYxsMz1rc7,spotify:track:50squRjCzTuFjYxsMz1rc7,https://api.spotify.com/v1/tracks/50squRjCzTuFjYxsMz1rc7,https://api.spotify.com/v1/audio-analysis/50squRjCzTuFjYxsMz1rc7,217080,4,"Keyboard Suite No. 1 (Set II) in B-Flat Major, HWV 434 (arr. W. Kempff for piano): 7 Keyboard Suites, Set II, No. 1: IV. Menuet (arr. W. Kempff)",Wilhelm Kempff
0.395,0.459,7,-11.292,0,0.0333,0.718,0.859,0.121,0.37,92.913,audio_features,4BMo0yRvYzdTvCKGiCMQ4U,spotify:track:4BMo0yRvYzdTvCKGiCMQ4U,https://api.spotify.com/v1/tracks/4BMo0yRvYzdTvCKGiCMQ4U,https://api.spotify.com/v1/audio-analysis/4BMo0yRvYzdTvCKGiCMQ4U,377040,3,Not In Our Name,Charlie Haden
0.593,0.23,8,-20.112,1,0.0661,0.995,0.901,0.102,0.249,131.455,audio_features,2Bl7sr1Nuc92CmSz1xg9mQ,spotify:track:2Bl7sr1Nuc92CmSz1xg9mQ,https://api.spotify.com/v1/tracks/2Bl7sr1Nuc92CmSz1xg9mQ,https://api.spotify.com/v1/audio-analysis/2Bl7sr1Nuc92CmSz1xg9mQ,237867,3,Prélude in C Minor,Bengt Hallberg
0.634,0.0325,10,-20.179,1,0.0433,0.993,0.0232,0.066,0.398,125.293,audio_features,15lAsZ1d3faSVntwdhIuUC,spotify:track:15lAsZ1d3faSVntwdhIuUC,https://api.spotify.com/v1/tracks/15lAsZ1d3faSVntwdhIuUC,https://api.spotify.com/v1/audio-analysis/15lAsZ1d3faSVntwdhIuUC,209189,4,Autumn Leaves,Ry Starky
0.439,0.0554,3,-15.183,1,0.0349,0.984,0.00382,0.111,0.178,101.015,audio_features,4oU07qd2sv9NxW61Op66Jh,spotify:track:4oU07qd2sv9NxW61Op66Jh,https://api.spotify.com/v1/tracks/4oU07qd2sv9NxW61Op66Jh,https://api.spotify.com/v1/audio-analysis/4oU07qd2sv9NxW61Op66Jh,261415,4,The Silence of Your Heart,Paolo Fresu
0.494,0.262,0,-11.169,1,0.0562,0.822,0.966,0.132,0.814,184.943,audio_features,0fGTaZYl8Tj1aswPU2amMo,spotify:track:0fGTaZYl8Tj1aswPU2amMo,https://api.spotify.com/v1/tracks/0fGTaZYl8Tj1aswPU2amMo,https://api.spotify.com/v1/audio-analysis/0fGTaZYl8Tj1aswPU2amMo,178160,4,Wild Cat Blues,Chris Barber's Jazz Band
0.478,0.0838,10,-20.753,0,0.0425,0.9,0.912,0.106,0.338,130.635,audio_features,0RUF4tal7e8ugHLGL2wdI0,spotify:track:0RUF4tal7e8ugHLGL2wdI0,https://api.spotify.com/v1/tracks/0RUF4tal7e8ugHLGL2wdI0,https://api.spotify.com/v1/audio-analysis/0RUF4tal7e8ugHLGL2wdI0,337987,4,Ravensburg,Mathias Eick
0.49,0.0824,0,-15.69,0,0.0384,0.99,0.892,0.0799,0.353,99.275,audio_features,2ZIBtvdLJjC0KJYkuZTasv,spotify:track:2ZIBtvdLJjC0KJYkuZTasv,https://api.spotify.com/v1/tracks/2ZIBtvdLJjC0KJYkuZTasv,https://api.spotify.com/v1/audio-analysis/2ZIBtvdLJjC0KJYkuZTasv,342364,3,Neige,Airelle Besson
